,Set Name,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10,Total
0,2000 Topps Finest World's Finest,0,0,–,0,0,0,0,0,0,7,38,106,151
1,BBM 1st Version,0,0,–,0,0,0,0,0,0,10,61,290,361
2,BBM 1st Version Amazing,0,0,–,0,0,0,0,0,0,0,1,1,2
3,BBM 1st Version Buyback Autographs,0,0,–,0,0,0,0,0,0,0,3,0,3
4,BBM 1st Version Cross Autographs,0,0,–,0,0,0,0,0,0,0,0,2,2
5,BBM 1st Version Cross Moon,0,0,–,0,0,0,0,0,0,3,15,14,32
6,BBM 1st Version Future Stardom,0,0,–,0,0,0,0,0,0,0,4,16,20
7,BBM 1st Version Japonism,0,0,–,0,0,0,0,0,0,0,4,2,6
8,BBM 1st Version Japonism Authentic Autograph,0,0,–,0,0,0,0,0,0,0,4,0,4
9,BBM 1st Version Memorabilia,0,0,–,0,0,0,0,0,0,1,2,1,4
10,BBM 1st Version Special Signing,0,0,–,0,0,0,0,0,0,1,0,0,1
11,BBM 2nd Version,0,0,–,0,0,0,0,0,0,0,2,5,7
12,BBM 2nd Version Ceremonial First Pitch,0,0,–,0,0,0,0,0,0,0,3,9,12
13,BBM 2nd Version Cross Autographs,0,0,–,0,0,0,0,0,0,0,0,1,1
14,BBM 2nd Version Fireworks,0,0,–,0,0,0,0,0,0,0,3,0,3
15,BBM Chiba Lotte Marines,0,0,–,0,0,0,0,1,0,0,5,3,9
16,BBM Chiba Lotte Marines Antique,0,0,–,0,0,0,0,0,0,0,1,3,4
17,BBM Chiba Lotte Marines Authentic Autographs,0,0,–,0,0,0,0,0,0,0,0,6,6
18,BBM Chiba Lotte Marines Catch the Wave,0,0,–,0,0,0,0,0,0,0,3,0,3
19,BBM Chiba Lotte Marines Esperanza,0,0,–,0,0,0,0,0,0,1,4,0,5
20,BBM Chiba Lotte Marines Phenom,0,0,–,0,0,0,0,1,0,0,9,9,19
21,BBM Dancing Heroine -Mai- Authentic Autographs,0,0,–,0,0,0,0,0,0,0,0,2,2
22,BBM Fukuoka Softbank Hawks Authentic Autographs,0,0,–,0,0,0,0,0,0,0,2,0,2
23,BBM Genesis,0,0,–,0,0,0,0,0,0,0,1,1,2
24,BBM Genesis Memorabilia Card,0,0,–,0,0,0,0,0,0,1,3,0,4
25,BBM Hanshin Tigers Authentic Autographs,0,0,–,0,0,0,0,0,0,0,2,2,4
26,BBM Hiroshima Toyo Carp Authentic Autographs,0,0,–,0,0,0,0,0,0,0,0,1,1
27,BBM Icons Samurai,0,0,–,0,0,0,0,1,0,0,1,4,6
28,BBM Icons Samurai Authentic Autograph,0,0,–,0,0,0,0,0,0,0,0,3,3
29,BBM Icons Samurai Foil Print,0,0,–,0,0,0,0,0,0,0,1,6,7
30,BBM Munetaka Murakami Shin-KA 3D,0,0,–,0,0,0,0,0,0,1,0,0,1
31,BBM Munetaka Murakami Shin-KA Authentic Autograph,0,0,–,0,0,0,0,0,0,0,1,0,1
32,BBM Munetaka Murakami Shin-KA Foil Signatures,0,0,–,0,0,0,0,0,0,1,4,3,8
33,BBM Munetaka Murakami Shin-KA Memorabilia,0,0,–,0,0,0,0,0,0,0,2,0,2
34,BBM Orix Buffaloes Authentic Autographs,0,0,–,0,0,0,0,0,0,0,1,1,2
35,BBM Orix Buffaloes Esperanza,0,0,–,0,0,0,0,0,0,0,1,0,1
36,BBM Rookie Edition,0,0,–,0,0,0,1,0,0,1,10,25,37
37,BBM Rookie Edition Starting Point,0,0,–,0,0,0,0,0,0,0,3,0,3
38,BBM Saitama Seibu Lions Authentic Autographs,0,0,–,0,0,0,0,0,0,1,0,0,1
39,BBM Tohoku Rakuten Golden Eagles Authentic Autographs,0,0,–,0,0,0,0,0,0,0,2,0,2
40,BBM Tokyo Yakult Swallows,0,0,–,0,0,0,0,0,0,1,1,5,7
41,BBM Tokyo Yakult Swallows Esperanza,0,0,–,0,0,0,0,0,0,0,4,0,4
42,BBM Tokyo Yakult Swallows Stellar,0,0,–,0,0,0,0,0,0,0,1,3,4
43,BBM Tokyo Yakult Swallows the Moment of 56,0,0,–,0,0,0,0,0,0,0,0,1,1
44,BBM Yomiuri Giants,0,0,–,0,0,0,0,0,0,2,1,1,4
45,BBM Yomiuri Giants Esperanza,0,0,–,0,0,0,0,0,0,0,1,0,1
46,BBM Yomiuri Giants Giants Pride 2023,0,0,–,0,0,0,0,0,0,1,1,0,2
47,Bowman,6,0,–,1,0,3,5,26,69,604,"1,622","1,411","3,747"
48,Bowman 1st Edition,2,0,–,0,0,0,2,10,13,86,559,892,"1,564"
49,Bowman 1st Edition Bowman Chrome Prospector's Special Die-Cut,0,0,–,0,0,0,0,0,1,1,3,4,9
50,Bowman 1st Edition Chrome Autographs,0,0,–,0,0,0,0,0,0,5,17,13,35
51,Bowman 75 Years of Bowman Buyback Autographs,3,0,–,0,0,0,1,2,1,1,1,1,10
52,Bowman Chrome,0,0,–,0,0,0,0,0,0,3,37,65,105
53,Bowman Chrome 2022 AFL Fall Stars,0,0,–,0,0,0,0,0,0,0,0,2,2
54,Bowman Chrome 2022 AFL Fall Stars Autograph,0,0,–,0,0,0,0,0,0,0,1,2,3
55,Bowman Chrome 2022 AFL Relics,0,0,–,0,0,0,0,0,0,0,1,0,1
56,Bowman Chrome Bowman Ascensions,0,0,–,0,0,0,0,0,0,0,9,4,13
57,Bowman Chrome Bowman Ascensions Autograph,0,0,–,0,0,0,0,1,0,2,6,4,13
58,Bowman Chrome Bowman Iconic,0,0,–,0,0,0,0,0,0,0,4,4,8
59,Bowman Chrome Bowman Invicta,0,0,–,0,0,0,0,0,0,0,0,1,1
60,Bowman Chrome Bowman Invicta Autograph,0,0,–,0,0,0,0,0,0,1,0,0,1
61,Bowman Chrome Chrome Autograph Relic,0,0,–,0,0,0,0,0,0,2,0,0,2
62,Bowman Chrome Chrome Rookie Autograph,1,0,–,0,0,0,0,0,0,1,6,11,19
63,Bowman Chrome It Came for the League,0,0,–,0,0,0,0,1,0,0,8,3,12
64,Bowman Chrome Mega Box Autographs,0,0,–,0,0,0,0,0,0,0,3,7,10
65,Bowman Chrome National,0,0,–,0,0,0,1,10,26,82,679,"1,002","1,800"
66,Bowman Chrome Prime Chrome Signature,0,0,–,0,0,0,0,0,0,0,1,0,1
67,Bowman Chrome Prospect Autographs,43,0,–,1,2,6,21,92,129,905,"8,247","13,912","23,358"
68,Bowman Chrome Prospect Process,0,0,–,0,0,0,0,0,0,0,0,2,2
