,Set Name,Year,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10
0,Cartes de Visite,1861-01-01,14,0,–,0,2,0,0,0,0,0,0,0
1,Grand Match at Hoboken Benefit,1863-01-01,5,0,–,0,0,0,0,0,0,0,0,0
2,Peck & Snyder,1869-01-01,12,1,–,0,0,0,0,0,0,0,0,0
3,E. L. Allen Photographer Stereoscope,1870-01-01,1,0,–,0,0,0,0,0,0,0,0,0
4,Peck & Snyder,1870-01-01,3,0,–,0,0,0,0,0,0,0,0,0
5,Boston Base Ball Club Cabinet,1873-01-01,2,1,–,0,0,0,0,0,0,0,0,0
6,Isaac White Studio Carte de Visite,1876-01-01,1,0,–,0,0,0,0,0,0,0,0,0
7,Washburn & Moen Trade Card,1876-01-01,0,0,–,0,0,1,0,0,0,0,0,0
8,Boston Base Ball Cabinet-C. Webster Jeffery,1878-01-01,0,1,–,0,0,0,0,0,0,0,0,0
9,H804-16 Forbes Co. Baseball Comics,1878-01-01,3,1,–,1,0,0,0,0,0,0,0,0
10,H804-6 Forbes Co. Baseball Comics,1878-01-01,33,5,–,15,1,3,4,2,0,0,0,0
11,Estabrooke Cabinets,1879-01-01,0,0,–,0,0,0,0,0,0,0,0,0
12,Calvert Lith. Co. Trade Card,1880-01-01,0,1,–,0,0,0,0,0,0,0,0,0
13,Capadura Cigar H804-4 Baseball Comics,1880-01-01,8,5,–,17,4,5,1,0,0,0,0,0
14,H804-10 Corner Clefs Baseball Comics,1880-01-01,2,4,–,25,5,0,0,0,0,0,0,0
15,H804-13 Old Style New Style,1880-01-01,1,0,–,1,1,0,0,0,0,0,0,0
16,H804-14 Big White Shoes,1880-01-01,2,0,–,2,0,0,1,0,0,0,0,0
17,H804-14 J.T. Keefe Big White Shoes,1880-01-01,1,4,–,8,0,1,0,0,0,0,0,0
18,H804-15A Red Border Position,1880-01-01,1,2,–,3,4,5,1,0,0,0,0,0
19,H804-17 Blueish-Green,1880-01-01,2,4,–,5,0,1,0,0,0,0,0,0
20,H804-18 Red Socks,1880-01-01,0,0,–,0,0,0,0,0,0,0,0,0
21,H804-19 Horizontal Brownies,1880-01-01,0,0,–,1,1,0,0,0,0,0,0,0
22,H804-2 Brownies,1880-01-01,1,2,–,0,2,1,0,0,0,0,0,0
23,"H804-23 Tobin ""149""",1880-01-01,0,0,–,0,0,0,0,0,0,0,0,0
24,H804-26 Large Cards,1880-01-01,1,0,–,4,0,0,0,0,0,0,0,0
25,H804-2B Vertical Brownies,1880-01-01,0,0,–,0,2,0,0,0,0,0,0,0
26,H804-30 Planet Series,1880-01-01,0,1,–,0,0,0,0,0,0,0,0,0
27,"H804-32 ""9"" No Period",1880-01-01,1,1,–,1,0,0,0,0,0,0,0,0
28,H804-36 W.D. Scorecard Series,1880-01-01,1,0,–,0,0,0,0,0,0,0,0,0
29,H804-38 an Accurate Barometer Series,1880-01-01,0,1,–,1,0,0,0,0,0,0,0,0
30,H804-41 Girl Series,1880-01-01,0,1,–,0,0,0,0,0,0,0,0,0
31,H804-7 Merchant's Gargling Oil Baseball Comics,1880-01-01,5,21,–,36,13,10,6,1,0,0,0,0
32,H804-8 Sporting Life Baseball Comics,1880-01-01,1,1,–,10,0,2,4,2,0,0,0,0
33,H804-9 Baseball Comics (Others),1880-01-01,0,0,–,1,0,0,1,0,0,0,0,0
34,H804-UNC Trade Card Untitled,1880-01-01,0,1,–,1,0,0,0,0,0,0,0,0
35,Randall Cabinet,1880-01-01,0,0,–,0,0,0,0,0,0,0,0,0
36,Flodin Photographic Studio Cabinets,1880-01-01,0,0,–,0,0,0,1,0,0,0,0,0
37,Chicago Photographic Studios Cabinets,1882-01-01,2,0,–,0,0,0,0,0,0,0,0,0
38,Cosack & Co.,1882-01-01,3,9,–,22,9,15,7,4,0,0,0,0
39,Lawson's Patent Base Ball Game,1884-01-01,0,0,–,3,4,11,29,38,41,121,165,62
40,Woodward & Albee Imperial Cabinet With Ad Back,1884-01-01,0,1,–,0,0,0,0,0,0,0,0,0
41,Cabinet,1885-01-01,0,0,–,0,0,0,0,0,0,0,0,0
42,Dunwell & Ford Stationers Photocard,1885-01-01,1,0,–,0,0,0,0,0,0,0,0,0
43,Souvenir Ticket Memorial Card,1885-01-01,1,0,–,0,0,0,0,0,0,0,0,0
44,Lorillard Team Cards,1886-01-01,0,0,–,0,2,0,0,0,0,0,0,0
45,MacIntire Studios Cabinets,1886-01-01,1,0,–,0,0,0,0,0,0,0,0,0
46,N167 Old Judge New York Giants,1886-01-01,2,1,–,2,1,4,0,2,2,0,0,0
47,Souvenir Ticket Memorial Card,1886-01-01,1,0,–,0,0,0,0,0,0,0,0,0
48,Tomlinson Studios Cabinets,1886-01-01,4,0,–,0,0,0,0,0,0,0,0,0
49,Ely Photo Cabinet,1887-01-01,1,0,–,0,0,0,0,0,0,0,0,0
50,Four Base Hits,1887-01-01,2,0,–,0,0,0,1,0,0,0,0,0
51,H804-24 Ball,1887-01-01,0,0,–,0,0,0,0,0,0,0,0,0
52,N172 Old Judge,1887-01-01,771,606,–,852,456,592,513,354,191,77,7,0
53,N175 Gypsy Queens,1887-01-01,4,5,–,5,4,1,1,2,1,0,0,0
54,N284 Gold Coin,1887-01-01,41,57,–,116,93,79,68,39,11,3,0,0
55,N370 Lone Jack,1887-01-01,0,0,–,1,0,1,0,0,0,0,0,0
56,N690 Kalamazoo Bats,1887-01-01,0,0,–,1,0,0,0,0,0,0,0,0
57,N690-1 Kalamazoo Bats Cabinets,1887-01-01,6,0,–,5,1,1,2,1,0,0,0,0
58,N693 Kalamazoo Bats Team Card,1887-01-01,5,0,–,0,0,2,0,1,0,0,0,0
59,Tobin Lithographs Black & White,1887-01-01,0,0,–,0,1,3,0,0,0,0,0,0
60,Tobin Lithographs Color,1887-01-01,15,2,–,6,3,4,1,0,0,0,0,0
61,Tomlinson Studios Cabinets,1887-01-01,1,0,–,1,0,1,0,0,0,0,0,0
62,Waltermire/Keith Bros. Cabinets,1887-01-01,0,0,–,0,0,0,0,0,0,0,0,0
63,Baseball Currency,1887-01-01,6,2,–,1,0,0,0,0,0,0,0,0
64,Allen & Ginter Girl Baseball Players N48 Type 1,1888-01-01,0,0,–,1,0,0,0,0,0,0,0,0
65,Allen & Ginter Girl Baseball Players N48 Type 2,1888-01-01,6,1,–,6,3,5,2,3,0,0,0,0
66,Bufford Sons Baseball Comics,1888-01-01,2,1,–,4,2,11,1,0,0,0,0,0
67,Cabinet,1888-01-01,1,0,–,0,1,0,0,0,0,0,0,0
68,Conly Cabinets,1888-01-01,0,0,–,1,0,0,0,0,0,0,0,0
69,F. W. Guerin Cabinets,1888-01-01,0,0,–,0,1,0,0,0,0,0,0,0
70,G & B Chewing Gum,1888-01-01,0,0,–,1,0,0,0,0,0,1,1,0
71,G. H. Hastings,1888-01-01,0,0,–,0,0,1,0,0,0,0,0,0
72,HB3 Baseball Bank,1888-01-01,1,0,–,0,0,0,0,0,0,0,0,0
73,Heyn Cabinets,1888-01-01,0,0,–,0,0,0,0,0,0,0,0,0
74,Joseph Hall Cabinets,1888-01-01,1,0,–,0,0,1,0,0,0,0,0,0
75,Joseph Hall Imperial Cabinets,1888-01-01,1,1,–,0,0,0,0,0,0,0,0,0
76,N154 Duke Sons & Company Presidential Baseball Club,1888-01-01,4,3,–,2,1,3,3,0,1,0,0,0
77,N173 Old Judge Cabinets,1888-01-01,29,4,–,3,7,10,4,1,1,0,0,0
78,N333 Newsboys League,1888-01-01,1,0,–,3,2,4,2,1,0,0,0,0
79,N403 Yum Yum Tobacco,1888-01-01,0,1,–,0,1,1,1,0,0,0,0,0
